file_id,time,cell_id,d1,d2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big,pop
203,12,1,25344,27968,34677,14944,32400,2216,28237,5072,pico
203,12,4,12960,22144,37275,20440,32400,1795,36755,14224,ultra
203,12,6,21424,23008,31725,11253,32384,1901,26640,0,pico
203,12,9,7712,14528,28744,10219,32416,1248,35392,10704,ultra
203,12,11,30368,21440,28861,6101,32400,12989,23421,5920,synecho
203,12,15,30032,22704,31221,13488,32400,1883,27323,6560,pico
203,12,17,28704,21664,37539,17944,32400,2107,34627,11072,ultra
203,12,23,17008,7072,38987,20315,32416,1509,36680,15072,ultra
203,12,24,4896,13104,25515,5995,32400,1952,29621,3040,pico
203,12,26,31312,22608,34133,21829,32400,2525,28205,2336,pico
203,12,27,17056,23616,27157,11832,32400,25787,16771,0,synecho
203,12,30,28272,26320,41880,25091,32400,1171,32467,6672,ultra
203,12,33,29808,22208,30728,13261,32400,8491,15504,288,synecho
203,12,36,14688,9968,37315,20896,32400,1499,37907,11584,ultra
203,12,37,35520,28288,50157,32600,32400,2584,40597,12768,nano
203,12,38,25520,16816,37261,20907,32416,2581,35259,6976,ultra
203,12,42,20192,29456,33117,16811,32400,6440,15371,992,synecho
203,12,44,17920,8624,33824,14192,32400,1917,38344,12224,ultra
203,12,47,23104,28320,33811,14360,32416,1269,27651,7808,pico
203,12,49,21296,21888,34656,16120,32384,712,31936,5936,pico
203,12,57,24560,16944,31579,15813,32416,2917,27520,13776,pico
203,12,59,6128,7520,37208,17867,32416,3179,45275,20400,nano
203,12,68,23360,16992,28573,12773,32416,1384,29688,4384,pico
203,12,69,24384,14544,28285,10797,32416,7168,14643,0,synecho
203,12,71,5408,3200,34051,13795,32400,1957,40715,14048,ultra
203,12,76,4496,2112,21901,3125,32400,1909,13368,0,pico
203,12,78,19488,24896,39501,24461,32416,1603,36331,9040,ultra
203,12,80,23104,18544,40485,20645,32416,2477,37512,10784,ultra
203,12,82,7504,6016,39976,22563,32416,5013,42499,14928,nano
203,12,86,16000,19088,38765,20184,32416,1067,37992,11296,ultra
203,12,88,29264,19920,33688,17309,32400,1261,30621,13424,ultra
203,12,91,8976,12464,39280,22184,32400,2307,39603,12768,ultra
203,12,94,5920,5584,38547,22309,32400,13853,22523,8704,synecho
203,12,96,24288,24208,47085,26504,32416,2411,45800,20640,nano
203,12,99,30880,21584,31811,12576,32416,1941,27453,7696,pico
203,12,101,34672,31248,46624,28395,32400,1325,34112,6352,ultra
203,12,102,8176,11088,40371,20427,32400,1421,40613,12512,ultra
203,12,103,26080,20064,31280,12917,32400,2779,25856,272,pico
203,12,104,23408,22576,37920,19955,32400,1795,33592,4256,ultra
203,12,107,5296,9056,27352,11163,32400,14299,25725,7072,synecho
203,12,115,17200,18496,31627,829,32400,2048,31288,9248,pico
203,12,125,6080,1280,34101,18349,32400,15403,20413,1456,synecho
203,13,126,28336,24672,35053,17901,32400,1152,27941,14256,pico
203,13,128,4288,240,30435,18333,32400,10437,17917,2928,synecho
203,13,129,34464,24256,33709,15901,32400,2005,25496,6464,pico
203,13,133,13808,8432,42325,25141,32400,3083,42077,13104,nano
203,13,134,16704,13328,18240,2560,32400,1432,24168,7776,pico
203,13,136,4224,8672,38325,19501,32384,3832,44200,17968,nano
203,13,140,6736,11792,47133,27752,32400,1723,49619,22240,nano
203,13,142,25760,22592,33101,14141,32400,1576,27160,6016,pico
203,13,143,29536,20064,29499,12995,32400,5947,13736,0,synecho
203,13,147,6656,8896,35379,18317,32416,17541,18184,6736,synecho
203,13,149,25088,15056,33456,13779,32400,2168,30747,8720,pico
203,13,152,21712,29552,30173,11861,32400,1976,24133,4304,pico
203,13,154,22352,23808,44539,25325,32400,1707,42557,13280,nano
203,13,156,29728,34192,40352,21880,32416,2963,29680,7616,ultra
203,13,157,25536,23936,39061,22083,32416,20496,24272,896,synecho
203,13,158,7696,12384,31707,15139,32400,2181,35109,5568,pico
203,13,164,20112,24048,56547,40248,32432,11144,60581,33296,nano
203,13,175,25168,23728,35837,17555,32400,1216,32149,3952,pico
203,13,178,28032,23328,35957,19139,32400,1880,36096,9296,ultra
203,13,181,27760,27216,52475,36544,32416,5053,53747,22848,nano
203,13,184,30528,24240,35197,17421,32400,3627,28459,96,pico
203,13,188,20896,26448,32733,15352,32384,3624,25968,1664,pico
203,13,193,21392,17968,31395,14507,32400,24627,25531,3792,synecho
203,13,201,14608,20800,37104,21373,32416,645,38419,13504,ultra
203,13,203,21568,30672,36973,21299,32400,1605,27616,11376,pico
203,13,204,7984,16752,37701,19643,32416,2093,41829,14000,ultra
203,13,210,17888,24944,51456,34933,32416,3757,48747,22080,nano
203,13,216,5184,272,30816,14368,32400,2824,21216,7520,pico
